2026-08-27 19:15:08,403 - INFO - Starting Voucher Approval Utility...
2026-08-27 19:15:27,258 - INFO - Approved voucher GM4370 (5696) for 2210.0
2026-08-27 19:28:00,358 - INFO - Application shutting down by user...
2026-08-27 19:28:05,016 - INFO - Starting Voucher Approval Utility...
2026-08-27 19:29:03,074 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:04,565 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:06,028 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:07,497 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:08,990 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:09,417 - INFO - Application shutting down by user...
2026-08-28 14:34:22,077 - INFO - Starting Voucher Approval Utility...
2026-08-28 14:34:24,993 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:34:26,355 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:34:27,701 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:34:29,049 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:34:30,050 - INFO - Application shutting down by user...
2026-08-28 14:34:42,156 - INFO - Starting Voucher Approval Utility...
2026-08-28 14:34:44,083 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:34:44,506 - INFO - Application shutting down by user...
2026-08-28 14:58:36,228 - INFO - Starting Voucher Approval Utility...
2026-08-28 14:58:38,221 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:39,762 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:41,174 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:42,650 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:44,096 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:45,570 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:47,048 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:48,506 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:49,936 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:51,397 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:52,903 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:54,467 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:55,994 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:57,479 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:58:59,112 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:00,694 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:02,613 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:04,403 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:05,947 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:07,517 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:08,953 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:10,378 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:11,870 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:13,348 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:14,815 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:16,233 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:17,697 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:19,144 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:20,619 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:22,057 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:23,495 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:24,922 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:26,403 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:27,950 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:29,575 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:30,953 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:32,637 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:34,084 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:35,525 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:36,988 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:38,460 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:39,930 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:41,422 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:42,658 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:44,973 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:48,657 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:52,197 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:53,681 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:55,109 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:56,536 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-28 14:59:57,981 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
